Id	Print_Name	Inverted_Name
fly	Tsotsitaal	Tsotsitaal
fmp	Fe'fe'	Fe'fe'
fmu	Far Western Muria	Muria, Far Western
fng	Fanagalo	Fanagalo
fni	Fania	Fania
fod	Foodo	Foodo
foi	Foi	Foi
fom	Foma	Foma
fon	Fon	Fon
for	Fore	Fore
fos	Siraya	Siraya
fpe	Fernando Po Creole English	Creole English, Fernando Po
fqs	Fas	Fas
fra	French	French
frc	Cajun French	French, Cajun
frd	Fordata	Fordata
frk	Frankish	Frankish
frm	Middle French (ca. 1400-1600)	French, Middle (ca. 1400-1600)
fro	Old French (842-ca. 1400)	French, Old (842-ca. 1400)
frp	Arpitan	Arpitan
frp	Francoprovençal	Francoprovençal
frq	Forak	Forak
frr	Northern Frisian	Frisian, Northern
frs	Eastern Frisian	Frisian, Eastern
frt	Fortsenal	Fortsenal
fry	Western Frisian	Frisian, Western
fse	Finnish Sign Language	Finnish Sign Language
fsl	French Sign Language	French Sign Language
fss	finlandssvenskt teckenspråk	finlandssvenskt teckenspråk
fss	Finland-Swedish Sign Language	Finland-Swedish Sign Language
fss	suomenruotsalainen viittomakieli	suomenruotsalainen viittomakieli
fub	Adamawa Fulfulde	Fulfulde, Adamawa
fuc	Pulaar	Pulaar
fud	East Futuna	Futuna, East
fue	Borgu Fulfulde	Fulfulde, Borgu
fuf	Pular	Pular
fuh	Western Niger Fulfulde	Fulfulde, Western Niger
fui	Bagirmi Fulfulde	Fulfulde, Bagirmi
fuj	Ko	Ko
ful	Fulah	Fulah
fum	Fum	Fum
fun	Fulniô	Fulniô
fuq	Central-Eastern Niger Fulfulde	Fulfulde, Central-Eastern Niger
fur	Friulian	Friulian
fut	Futuna-Aniwa	Futuna-Aniwa
fuu	Furu	Furu
fuv	Nigerian Fulfulde	Fulfulde, Nigerian
fuy	Fuyug	Fuyug
fvr	Fur	Fur
fwa	Fwâi	Fwâi
fwe	Fwe	Fwe
gaa	Ga	Ga
gab	Gabri	Gabri
gac	Mixed Great Andamanese	Great Andamanese, Mixed
gad	Gaddang	Gaddang
gae	Guarequena	Guarequena
gaf	Gende	Gende
gag	Gagauz	Gagauz
gah	Alekano	Alekano
gai	Borei	Borei
gaj	Gadsup	Gadsup
gak	Gamkonora	Gamkonora
gal	Galolen	Galolen
gam	Kandawo	Kandawo
gan	Gan Chinese	Chinese, Gan
gao	Gants	Gants
gap	Gal	Gal
gaq	Gata'	Gata'
gar	Galeya	Galeya
gas	Adiwasi Garasia	Garasia, Adiwasi
gat	Kenati	Kenati
gau	Mudhili Gadaba	Gadaba, Mudhili
gaw	Nobonob	Nobonob
gax	Borana-Arsi-Guji Oromo	Oromo, Borana-Arsi-Guji
gay	Gayo	Gayo
gaz	West Central Oromo	Oromo, West Central
gba	Gbaya (Central African Republic)	Gbaya (Central African Republic)
gbb	Kaytetye	Kaytetye
gbd	Karadjeri	Karadjeri
gbe	Niksek	Niksek
gbf	Gaikundi	Gaikundi
gbg	Gbanziri	Gbanziri
gbh	Defi Gbe	Gbe, Defi
gbi	Galela	Galela
gbj	Bodo Gadaba	Gadaba, Bodo
gbk	Gaddi	Gaddi
gbl	Gamit	Gamit
gbm	Garhwali	Garhwali
gbn	Mo'da	Mo'da
gbo	Northern Grebo	Grebo, Northern
gbp	Gbaya-Bossangoa	Gbaya-Bossangoa
gbq	Gbaya-Bozoum	Gbaya-Bozoum
gbr	Gbagyi	Gbagyi
gbs	Gbesi Gbe	Gbe, Gbesi
gbu	Gagadu	Gagadu
gbv	Gbanu	Gbanu
gbw	Gabi-Gabi	Gabi-Gabi
gbx	Eastern Xwla Gbe	Gbe, Eastern Xwla
gby	Gbari	Gbari
gbz	Zoroastrian Dari	Dari, Zoroastrian
gcc	Mali	Mali
gcd	Ganggalida	Ganggalida
gce	Galice	Galice
gcf	Guadeloupean Creole French	Creole French, Guadeloupean
gcl	Grenadian Creole English	Creole English, Grenadian
gcn	Gaina	Gaina
gcr	Guianese Creole French	Creole French, Guianese
gct	Colonia Tovar German	German, Colonia Tovar
gda	Gade Lohar	Lohar, Gade
gdb	Pottangi Ollar Gadaba	Gadaba, Pottangi Ollar
gdc	Gugu Badhun	Gugu Badhun
gdd	Gedaged	Gedaged
gde	Gude	Gude
gdf	Guduf-Gava	Guduf-Gava
gdg	Ga'dang	Ga'dang
gdh	Gadjerawang	Gadjerawang
gdi	Gundi	Gundi
gdj	Gurdjar	Gurdjar
gdk	Gadang	Gadang
gdl	Dirasha	Dirasha
gdm	Laal	Laal
gdn	Umanakaina	Umanakaina
gdo	Ghodoberi	Ghodoberi
gdq	Mehri	Mehri
gdr	Wipi	Wipi
gds	Ghandruk Sign Language	Ghandruk Sign Language
gdt	Kungardutyi	Kungardutyi
gdu	Gudu	Gudu
gdx	Godwari	Godwari
gea	Geruma	Geruma
geb	Kire	Kire
gec	Gboloo Grebo	Grebo, Gboloo
ged	Gade	Gade
geg	Gengle	Gengle
geh	Hutterisch	Hutterisch
geh	Hutterite German	German, Hutterite
gei	Gebe	Gebe
gej	Gen	Gen
gek	Yiwom	Yiwom
gel	ut-Ma'in	ut-Ma'in
geq	Geme	Geme
ges	Geser-Gorom	Geser-Gorom
gev	Eviya	Eviya
gew	Gera	Gera
gex	Garre	Garre
gey	Enya	Enya
gez	Geez	Geez
gfk	Patpatar	Patpatar
gft	Gafat	Gafat
gga	Gao	Gao
ggb	Gbii	Gbii
ggd	Gugadj	Gugadj
gge	Guragone	Guragone
ggg	Gurgula	Gurgula
ggk	Kungarakany	Kungarakany
ggl	Ganglau	Ganglau
ggn	Eastern Gurung	Gurung, Eastern
ggo	Southern Gondi	Gondi, Southern
ggt	Gitua	Gitua
ggu	Gagu	Gagu
ggu	Gban	Gban
ggw	Gogodala	Gogodala
gha	Ghadamès	Ghadamès
ghc	Hiberno-Scottish Gaelic	Gaelic, Hiberno-Scottish
ghe	Southern Ghale	Ghale, Southern
ghh	Northern Ghale	Ghale, Northern
ghk	Geko Karen	Karen, Geko
ghl	Ghulfan	Ghulfan
ghn	Ghanongga	Ghanongga
gho	Ghomara	Ghomara
ghr	Ghera	Ghera
ghs	Guhu-Samane	Guhu-Samane
ght	Kuke	Kuke
ght	Kutang Ghale	Ghale, Kutang
gia	Kitja	Kitja
gib	Gibanawa	Gibanawa
gic	Gail	Gail
gid	Gidar	Gidar
gig	Goaria	Goaria
gih	Githabul	Githabul
gil	Gilbertese	Gilbertese
gim	Gimi (Eastern Highlands)	Gimi (Eastern Highlands)
gin	Hinukh	Hinukh
gip	Gimi (West New Britain)	Gimi (West New Britain)
giq	Green Gelao	Gelao, Green
gir	Red Gelao	Gelao, Red
gis	North Giziga	Giziga, North
git	Gitxsan	Gitxsan
giu	Mulao	Mulao
giw	White Gelao	Gelao, White
gix	Gilima	Gilima
giy	Giyug	Giyug
giz	South Giziga	Giziga, South
gji	Geji	Geji
gjk	Kachi Koli	Koli, Kachi
gjm	Gunditjmara	Gunditjmara
gjn	Gonja	Gonja
gju	Gujari	Gujari
gka	Guya	Guya
gke	Ndai	Ndai
gkn	Gokana	Gokana
gko	Kok-Nar	Kok-Nar
gkp	Guinea Kpelle	Kpelle, Guinea
gku	ǂUngkue	ǂUngkue
gla	Gaelic	Gaelic
gla	Scottish Gaelic	Gaelic, Scottish
glc	Bon Gula	Bon Gula
gld	Nanai	Nanai
gle	Irish	Irish
glg	Galician	Galician
glh	Northwest Pashai	Pashai, Northwest
glh	Northwest Pashayi	Pashayi, Northwest
gli	Guliguli	Guliguli
glj	Gula Iro	Gula Iro
glk	Gilaki	Gilaki
gll	Garlali	Garlali
glo	Galambu	Galambu
glr	Glaro-Twabo	Glaro-Twabo
glu	Gula (Chad)	Gula (Chad)
glv	Manx	Manx
glw	Glavda	Glavda
gly	Gule	Gule
gma	Gambera	Gambera
gmb	Gula'alaa	Gula'alaa
gmd	Mághdì	Mághdì
gmg	Magɨyi	Magɨyi
gmh	Middle High German (ca. 1050-1500)	German, Middle High (ca. 1050-1500)
gml	Middle Low German	German, Middle Low
gmm	Gbaya-Mbodomo	Gbaya-Mbodomo
gmn	Gimnime	Gimnime
gmu	Gumalu	Gumalu
gmv	Gamo	Gamo
gmx	Magoma	Magoma
gmy	Mycenaean Greek	Greek, Mycenaean
gmz	Mgbolizhia	Mgbolizhia
gna	Kaansa	Kaansa
gnb	Gangte	Gangte
gnc	Guanche	Guanche
gnd	Zulgo-Gemzek	Zulgo-Gemzek
gne	Ganang	Ganang
gng	Ngangam	Ngangam
gnh	Lere	Lere
gni	Gooniyandi	Gooniyandi
gnk	//Gana	//Gana
gnl	Gangulu	Gangulu
gnm	Ginuman	Ginuman
gnn	Gumatj	Gumatj
gno	Northern Gondi	Gondi, Northern
gnq	Gana	Gana
gnr	Gureng Gureng	Gureng Gureng
gnt	Guntai	Guntai
gnu	Gnau	Gnau
gnw	Western Bolivian Guaraní	Guaraní, Western Bolivian
gnz	Ganzi	Ganzi
goa	Guro	Guro
gob	Playero	Playero
goc	Gorakor	Gorakor
god	Godié	Godié
goe	Gongduk	Gongduk
gof	Gofa	Gofa
gog	Gogo	Gogo
goh	Old High German (ca. 750-1050)	German, Old High (ca. 750-1050)
goi	Gobasi	Gobasi
goj	Gowlan	Gowlan
gok	Gowli	Gowli
gol	Gola	Gola
gom	Goan Konkani	Konkani, Goan
gon	Gondi	Gondi
goo	Gone Dau	Gone Dau
gop	Yeretuar	Yeretuar
goq	Gorap	Gorap
gor	Gorontalo	Gorontalo
gos	Gronings	Gronings
got	Gothic	Gothic
gou	Gavar	Gavar
gow	Gorowa	Gorowa
gox	Gobu	Gobu
goy	Goundo	Goundo
goz	Gozarkhani	Gozarkhani
gpa	Gupa-Abawa	Gupa-Abawa
gpe	Ghanaian Pidgin English	Pidgin English, Ghanaian
gpn	Taiap	Taiap
gqa	Ga'anda	Ga'anda
gqi	Guiqiong	Guiqiong
gqn	Guana (Brazil)	Guana (Brazil)
gqr	Gor	Gor
gqu	Qau	Qau
gra	Rajput Garasia	Garasia, Rajput
grb	Grebo	Grebo
grc	Ancient Greek (to 1453)	Greek, Ancient (to 1453)
grd	Guruntum-Mbaaru	Guruntum-Mbaaru
grg	Madi	Madi
grh	Gbiri-Niragu	Gbiri-Niragu
gri	Ghari	Ghari
grj	Southern Grebo	Grebo, Southern
grm	Kota Marudu Talantang	Kota Marudu Talantang
grn	Guarani	Guarani
gro	Groma	Groma
grq	Gorovu	Gorovu
grr	Taznatit	Taznatit
grs	Gresi	Gresi
grt	Garo	Garo
gru	Kistane	Kistane
grv	Central Grebo	Grebo, Central
grw	Gweda	Gweda
grx	Guriaso	Guriaso
gry	Barclayville Grebo	Grebo, Barclayville
grz	Guramalum	Guramalum
gse	Ghanaian Sign Language	Ghanaian Sign Language
gsg	German Sign Language	German Sign Language
gsl	Gusilay	Gusilay
gsm	Guatemalan Sign Language	Guatemalan Sign Language
gsn	Gusan	Gusan
gso	Southwest Gbaya	Gbaya, Southwest
gsp	Wasembo	Wasembo
gss	Greek Sign Language	Greek Sign Language
gsw	Alemannic	Alemannic
gsw	Alsatian	Alsatian
gsw	Swiss German	German, Swiss
gta	Guató	Guató
gtu	Aghu-Tharnggala	Aghu-Tharnggala
gua	Shiki	Shiki
gub	Guajajára	Guajajára
guc	Wayuu	Wayuu
gud	Yocoboué Dida	Dida, Yocoboué
gue	Gurinji	Gurinji
guf	Gupapuyngu	Gupapuyngu
gug	Paraguayan Guaraní	Guaraní, Paraguayan
guh	Guahibo	Guahibo
gui	Eastern Bolivian Guaraní	Guaraní, Eastern Bolivian
guj	Gujarati	Gujarati
guk	Gumuz	Gumuz
gul	Sea Island Creole English	Creole English, Sea Island
gum	Guambiano	Guambiano
gun	Mbyá Guaraní	Guaraní, Mbyá
guo	Guayabero	Guayabero
gup	Gunwinggu	Gunwinggu
guq	Aché	Aché
gur	Farefare	Farefare
gus	Guinean Sign Language	Guinean Sign Language
gut	Maléku Jaíka	Maléku Jaíka
guu	Yanomamö	Yanomamö
guv	Gey	Gey
guw	Gun	Gun
gux	Gourmanchéma	Gourmanchéma
guz	Ekegusii	Ekegusii
guz	Gusii	Gusii
gva	Guana (Paraguay)	Guana (Paraguay)
gvc	Guanano	Guanano
gve	Duwet	Duwet
gvf	Golin	Golin
gvj	Guajá	Guajá
gvl	Gulay	Gulay
gvm	Gurmana	Gurmana
gvn	Kuku-Yalanji	Kuku-Yalanji
gvo	Gavião Do Jiparaná	Gavião Do Jiparaná
gvp	Pará Gavião	Gavião, Pará
gvr	Western Gurung	Gurung, Western
gvs	Gumawana	Gumawana
gvy	Guyani	Guyani
gwa	Mbato	Mbato
gwb	Gwa	Gwa
gwc	Kalami	Kalami
gwd	Gawwada	Gawwada
gwe	Gweno	Gweno
gwf	Gowro	Gowro
gwg	Moo	Moo
gwi	Gwichʼin	Gwichʼin
gwj	/Gwi	/Gwi
gwm	Awngthim	Awngthim
gwn	Gwandara	Gwandara
gwr	Gwere	Gwere
gwt	Gawar-Bati	Gawar-Bati
gwu	Guwamu	Guwamu
gww	Kwini	Kwini
gwx	Gua	Gua
gxx	Wè Southern	Wè Southern
gya	Northwest Gbaya	Gbaya, Northwest
gyb	Garus	Garus
gyd	Kayardild	Kayardild
gye	Gyem	Gyem
gyf	Gungabula	Gungabula
gyg	Gbayi	Gbayi
gyi	Gyele	Gyele
gyl	Gayil	Gayil
gym	Ngäbere	Ngäbere
gyn	Guyanese Creole English	Creole English, Guyanese
gyr	Guarayu	Guarayu
gyy	Gunya	Gunya
gza	Ganza	Ganza
gzi	Gazi	Gazi
gzn	Gane	Gane
haa	Han	Han
hab	Hanoi Sign Language	Hanoi Sign Language
hac	Gurani	Gurani
had	Hatam	Hatam
hae	Eastern Oromo	Oromo, Eastern
haf	Haiphong Sign Language	Haiphong Sign Language
hag	Hanga	Hanga
hah	Hahon	Hahon
hai	Haida	Haida
haj	Hajong	Hajong
hak	Hakka Chinese	Chinese, Hakka
hal	Halang	Halang
ham	Hewa	Hewa
han	Hangaza	Hangaza
hao	Hakö	Hakö
hap	Hupla	Hupla
haq	Ha	Ha
har	Harari	Harari
has	Haisla	Haisla
hat	Haitian	Haitian
hat	Haitian Creole	Creole, Haitian
hau	Hausa	Hausa
hav	Havu	Havu
haw	Hawaiian	Hawaiian
hax	Southern Haida	Haida, Southern
hay	Haya	Haya
haz	Hazaragi	Hazaragi
hba	Hamba	Hamba
hbb	Huba	Huba
hbn	Heiban	Heiban
hbo	Ancient Hebrew	Hebrew, Ancient
hbs	Serbo-Croatian	Serbo-Croatian
hbu	Habu	Habu
hca	Andaman Creole Hindi	Creole Hindi, Andaman
hch	Huichol	Huichol
hdn	Northern Haida	Haida, Northern
hds	Honduras Sign Language	Honduras Sign Language
hdy	Hadiyya	Hadiyya
hea	Northern Qiandong Miao	Miao, Northern Qiandong
heb	Hebrew	Hebrew
hed	Herdé	Herdé
heg	Helong	Helong
heh	Hehe	Hehe
hei	Heiltsuk	Heiltsuk
hem	Hemba	Hemba
her	Herero	Herero
hgm	Hai//om	Hai//om
hgw	Haigwai	Haigwai
hhi	Hoia Hoia	Hoia Hoia
hhr	Kerak	Kerak
hhy	Hoyahoya	Hoyahoya
hia	Lamang	Lamang
hib	Hibito	Hibito
hid	Hidatsa	Hidatsa
hif	Fiji Hindi	Hindi, Fiji
hig	Kamwe	Kamwe
hih	Pamosu	Pamosu
hii	Hinduri	Hinduri
hij	Hijuk	Hijuk
hik	Seit-Kaitetu	Seit-Kaitetu
hil	Hiligaynon	Hiligaynon
hin	Hindi	Hindi
hio	Tsoa	Tsoa
hir	Himarimã	Himarimã
hit	Hittite	Hittite
hiw	Hiw	Hiw
hix	Hixkaryána	Hixkaryána
hji	Haji	Haji
hka	Kahe	Kahe
hke	Hunde	Hunde
hkk	Hunjara-Kaina Ke	Hunjara-Kaina Ke
hks	Heung Kong Sau Yue	Heung Kong Sau Yue
hks	Hong Kong Sign Language	Hong Kong Sign Language
hla	Halia	Halia
hlb	Halbi	Halbi
hld	Halang Doan	Halang Doan
hle	Hlersu	Hlersu
hlt	Matu Chin	Chin, Matu
hlu	Hieroglyphic Luwian	Luwian, Hieroglyphic
hma	Southern Mashan Hmong	Hmong, Southern Mashan
hma	Southern Mashan Miao	Miao, Southern Mashan
hmb	Humburi Senni Songhay	Songhay, Humburi Senni
hmc	Central Huishui Hmong	Hmong, Central Huishui
hmc	Central Huishui Miao	Miao, Central Huishui
hmd	A-hmaos	A-hmaos
hmd	Da-Hua Miao	Miao, Da-Hua
hmd	Large Flowery Miao	Miao, Large Flowery
hme	Eastern Huishui Hmong	Hmong, Eastern Huishui
hme	Eastern Huishui Miao	Miao, Eastern Huishui
hmf	Hmong Don	Hmong Don
hmg	Southwestern Guiyang Hmong	Hmong, Southwestern Guiyang
hmh	Southwestern Huishui Hmong	Hmong, Southwestern Huishui
hmh	Southwestern Huishui Miao	Miao, Southwestern Huishui
hmi	Northern Huishui Hmong	Hmong, Northern Huishui
hmi	Northern Huishui Miao	Miao, Northern Huishui
hmj	Ge	Ge
hmj	Gejia	Gejia
hmk	Maek	Maek
hml	Luopohe Hmong	Hmong, Luopohe
hml	Luopohe Miao	Miao, Luopohe
hmm	Central Mashan Hmong	Hmong, Central Mashan
hmm	Central Mashan Miao	Miao, Central Mashan
hmn	Hmong	Hmong
hmn	Mong	Mong
hmo	Hiri Motu	Hiri Motu
hmp	Northern Mashan Hmong	Hmong, Northern Mashan
hmp	Northern Mashan Miao	Miao, Northern Mashan
hmq	Eastern Qiandong Miao	Miao, Eastern Qiandong
hmr	Hmar	Hmar
hms	Southern Qiandong Miao	Miao, Southern Qiandong
hmt	Hamtai	Hamtai
hmu	Hamap	Hamap
hmv	Hmong Dô	Hmong Dô
hmw	Western Mashan Hmong	Hmong, Western Mashan
hmw	Western Mashan Miao	Miao, Western Mashan
hmy	Southern Guiyang Hmong	Hmong, Southern Guiyang
hmy	Southern Guiyang Miao	Miao, Southern Guiyang
hmz	Hmong Shua	Hmong Shua
hmz	Sinicized Miao	Miao, Sinicized
hna	Mina (Cameroon)	Mina (Cameroon)
hnd	Southern Hindko	Hindko, Southern
hne	Chhattisgarhi	Chhattisgarhi
hnh	//Ani	//Ani
hni	Hani	Hani
hnj	Hmong Njua	Hmong Njua
hnj	Mong Leng	Mong Leng
hnj	Mong Njua	Mong Njua
hnn	Hanunoo	Hanunoo
hno	Northern Hindko	Hindko, Northern
hns	Caribbean Hindustani	Hindustani, Caribbean
hnu	Hung	Hung
hoa	Hoava	Hoava
hob	Mari (Madang Province)	Mari (Madang Province)
hoc	Ho	Ho
hod	Holma	Holma
hoe	Horom	Horom
hoh	Hobyót	Hobyót
hoi	Holikachuk	Holikachuk
hoj	Hadothi	Hadothi
hoj	Haroti	Haroti
hol	Holu	Holu
hom	Homa	Homa
hoo	Holoholo	Holoholo
hop	Hopi	Hopi
hor	Horo	Horo
hos	Ho Chi Minh City Sign Language	Ho Chi Minh City Sign Language
hot	Hote	Hote
hot	Malê	Malê
hov	Hovongan	Hovongan
how	Honi	Honi
hoy	Holiya	Holiya
hoz	Hozo	Hozo
hpo	Hpon	Hpon
hps	Hawai'i Pidgin Sign Language	Hawai'i Pidgin Sign Language
hps	Hawai'i Sign Language (HSL)	Hawai'i Sign Language (HSL)
hra	Hrangkhol	Hrangkhol
hrc	Niwer Mil	Niwer Mil
hre	Hre	Hre
hrk	Haruku	Haruku
hrm	Horned Miao	Miao, Horned
hro	Haroi	Haroi
hrp	Nhirrpi	Nhirrpi
hrt	Hértevin	Hértevin
hru	Hruso	Hruso
hrv	Croatian	Croatian
hrw	Warwar Feni	Warwar Feni
hrx	Hunsrik	Hunsrik
hrz	Harzani	Harzani
hsb	Upper Sorbian	Sorbian, Upper
hsh	Hungarian Sign Language	Hungarian Sign Language
hsl	Hausa Sign Language	Hausa Sign Language
hsn	Xiang Chinese	Chinese, Xiang
hss	Harsusi	Harsusi
hti	Hoti	Hoti
hto	Minica Huitoto	Huitoto, Minica
hts	Hadza	Hadza
htu	Hitu	Hitu
htx	Middle Hittite	Hittite, Middle
hub	Huambisa	Huambisa
huc	=/Hua	=/Hua
hud	Huaulu	Huaulu
hue	San Francisco Del Mar Huave	Huave, San Francisco Del Mar
huf	Humene	Humene
hug	Huachipaeri	Huachipaeri
huh	Huilliche	Huilliche
hui	Huli	Huli
huj	Northern Guiyang Hmong	Hmong, Northern Guiyang
huj	Northern Guiyang Miao	Miao, Northern Guiyang
huk	Hulung	Hulung
hul	Hula	Hula
hum	Hungana	Hungana
hun	Hungarian	Hungarian
huo	Hu	Hu
hup	Hupa	Hupa
huq	Tsat	Tsat
hur	Halkomelem	Halkomelem
hus	Huastec	Huastec
hut	Humla	Humla
huu	Murui Huitoto	Huitoto, Murui
huv	San Mateo Del Mar Huave	Huave, San Mateo Del Mar
huw	Hukumina	Hukumina
hux	Nüpode Huitoto	Huitoto, Nüpode
huy	Hulaulá	Hulaulá
huz	Hunzib	Hunzib
hvc	Haitian Vodoun Culture Language	Haitian Vodoun Culture Language
hve	San Dionisio Del Mar Huave	Huave, San Dionisio Del Mar
hvk	Haveke	Haveke
hvn	Sabu	Sabu
hvv	Santa María Del Mar Huave	Huave, Santa María Del Mar
hwa	Wané	Wané
hwc	Hawai'i Creole English	Creole English, Hawai'i
hwc	Hawai'i Pidgin	Hawai'i Pidgin
hwo	Hwana	Hwana
hya	Hya	Hya
hye	Armenian	Armenian
iai	Iaai	Iaai
ian	Iatmul	Iatmul
iap	Iapama	Iapama
iar	Purari	Purari
iba	Iban	Iban
ibb	Ibibio	Ibibio
ibd	Iwaidja	Iwaidja
ibe	Akpes	Akpes
ibg	Ibanag	Ibanag
ibl	Ibaloi	Ibaloi
ibm	Agoi	Agoi
ibn	Ibino	Ibino
ibo	Igbo	Igbo
ibr	Ibuoro	Ibuoro
ibu	Ibu	Ibu
iby	Ibani	Ibani
ica	Ede Ica	Ede Ica
ich	Etkywan	Etkywan
icl	Icelandic Sign Language	Icelandic Sign Language
icr	Islander Creole English	Creole English, Islander
ida	Idakho-Isukha-Tiriki	Idakho-Isukha-Tiriki
ida	Luidakho-Luisukha-Lutirichi	Luidakho-Luisukha-Lutirichi
idb	Indo-Portuguese	Indo-Portuguese
idc	Ajiya	Ajiya
idc	Idon	Idon
idd	Ede Idaca	Ede Idaca
ide	Idere	Idere
idi	Idi	Idi
ido	Ido	Ido
idr	Indri	Indri
ids	Idesa	Idesa
idt	Idaté	Idaté
idu	Idoma	Idoma
ifa	Amganad Ifugao	Ifugao, Amganad
ifb	Ayangan Ifugao	Ifugao, Ayangan
ifb	Batad Ifugao	Ifugao, Batad
ife	Ifè	Ifè
iff	Ifo	Ifo
ifk	Tuwali Ifugao	Ifugao, Tuwali
ifm	Teke-Fuumu	Teke-Fuumu
ifu	Mayoyao Ifugao	Ifugao, Mayoyao
ify	Keley-I Kallahan	Kallahan, Keley-I
igb	Ebira	Ebira
ige	Igede	Igede
igg	Igana	Igana
igl	Igala	Igala
igm	Kanggape	Kanggape
ign	Ignaciano	Ignaciano
igo	Isebe	Isebe
igs	Interglossa	Interglossa
igw	Igwe	Igwe
ihb	Iha Based Pidgin	Iha Based Pidgin
ihi	Ihievbe	Ihievbe
ihp	Iha	Iha
ihw	Bidhawal	Bidhawal
iii	Nuosu	Nuosu
iii	Sichuan Yi	Yi, Sichuan
iin	Thiin	Thiin
ijc	Izon	Izon
ije	Biseni	Biseni
ijj	Ede Ije	Ede Ije
ijn	Kalabari	Kalabari
ijs	Southeast Ijo	Ijo, Southeast
ike	Eastern Canadian Inuktitut	Inuktitut, Eastern Canadian
iki	Iko	Iko
ikk	Ika	Ika
ikl	Ikulu	Ikulu
iko	Olulumo-Ikom	Olulumo-Ikom
ikp	Ikpeshi	Ikpeshi
ikr	Ikaranggal	Ikaranggal
iks	Inuit Sign Language	Inuit Sign Language
ikt	Inuinnaqtun	Inuinnaqtun
ikt	Western Canadian Inuktitut	Inuktitut, Western Canadian
iku	Inuktitut	Inuktitut
ikv	Iku-Gora-Ankwa	Iku-Gora-Ankwa
ikw	Ikwere	Ikwere
ikx	Ik	Ik
ikz	Ikizu	Ikizu
ila	Ile Ape	Ile Ape
ilb	Ila	Ila
ile	Interlingue	Interlingue
ile	Occidental	Occidental
ilg	Garig-Ilgar	Garig-Ilgar
ili	Ili Turki	Ili Turki
ilk	Ilongot	Ilongot
ill	Iranun	Iranun
ilo	Iloko	Iloko
ils	International Sign	International Sign
ilu	Ili'uun	Ili'uun
ilv	Ilue	Ilue
ima	Mala Malasar	Malasar, Mala
imi	Anamgura	Anamgura
iml	Miluk	Miluk
imn	Imonda	Imonda
imo	Imbongu	Imbongu
imr	Imroing	Imroing
ims	Marsian	Marsian
imy	Milyan	Milyan
ina	Interlingua (International Auxiliary Language Association)	Interlingua (International Auxiliary Language Association)
inb	Inga	Inga
ind	Indonesian	Indonesian
ing	Degexit'an	Degexit'an
inh	Ingush	Ingush
inj	Jungle Inga	Inga, Jungle
inl	Indonesian Sign Language	Indonesian Sign Language
inm	Minaean	Minaean
inn	Isinai	Isinai
ino	Inoke-Yate	Inoke-Yate
inp	Iñapari	Iñapari
ins	Indian Sign Language	Indian Sign Language
int	Intha	Intha
inz	Ineseño	Ineseño
ior	Inor	Inor
iou	Tuma-Irumu	Tuma-Irumu
iow	Iowa-Oto	Iowa-Oto
ipi	Ipili	Ipili
ipk	Inupiaq	Inupiaq
ipo	Ipiko	Ipiko
iqu	Iquito	Iquito
iqw	Ikwo	Ikwo
ire	Iresim	Iresim
irh	Irarutu	Irarutu
iri	Irigwe	Irigwe
irk	Iraqw	Iraqw
irn	Irántxe	Irántxe
irr	Ir	Ir
iru	Irula	Irula
irx	Kamberau	Kamberau
iry	Iraya	Iraya
isa	Isabi	Isabi
isc	Isconahua	Isconahua
isd	Isnag	Isnag
ise	Italian Sign Language	Italian Sign Language
isg	Irish Sign Language	Irish Sign Language
ish	Esan	Esan
isi	Nkem-Nkum	Nkem-Nkum
isk	Ishkashimi	Ishkashimi
isl	Icelandic	Icelandic
ism	Masimasi	Masimasi
isn	Isanzu	Isanzu
iso	Isoko	Isoko
isr	Israeli Sign Language	Israeli Sign Language
ist	Istriot	Istriot
isu	Isu (Menchum Division)	Isu (Menchum Division)
ita	Italian	Italian
itb	Binongan Itneg	Itneg, Binongan
ite	Itene	Itene
iti	Inlaod Itneg	Itneg, Inlaod
itk	Judeo-Italian	Judeo-Italian
itl	Itelmen	Itelmen
itm	Itu Mbon Uzo	Itu Mbon Uzo
ito	Itonama	Itonama
itr	Iteri	Iteri
its	Isekiri	Isekiri
itt	Maeng Itneg	Itneg, Maeng
itv	Itawit	Itawit
itw	Ito	Ito
itx	Itik	Itik
ity	Moyadan Itneg	Itneg, Moyadan
itz	Itzá	Itzá
ium	Iu Mien	Mien, Iu
ivb	Ibatan	Ibatan
ivv	Ivatan	Ivatan
iwk	I-Wak	I-Wak
iwm	Iwam	Iwam
iwo	Iwur	Iwur
iws	Sepik Iwam	Iwam, Sepik
ixc	Ixcatec	Ixcatec
ixl	Ixil	Ixil
iya	Iyayu	Iyayu
iyo	Mesaka	Mesaka
iyx	Yaka (Congo)	Yaka (Congo)
izh	Ingrian	Ingrian
izr	Izere	Izere
izz	Izii	Izii
jaa	Jamamadí	Jamamadí
jab	Hyam	Hyam
jac	Jakalteko	Jakalteko
jac	Popti'	Popti'
jad	Jahanka	Jahanka
jae	Yabem	Yabem
jaf	Jara	Jara
jah	Jah Hut	Jah Hut
jaj	Zazao	Zazao
jak	Jakun	Jakun
jal	Yalahatan	Yalahatan
jam	Jamaican Creole English	Creole English, Jamaican
jan	Jandai	Jandai
jao	Yanyuwa	Yanyuwa
jaq	Yaqay	Yaqay
